"Time (s) Run #1";"Period (s) Run #1"
1,481;1,4027
2,883;1,4020
4,286;1,4030
5,688;1,4024
7,090;1,4020
8,493;1,4030
9,896;1,4026
11,298;1,4022
12,701;1,4025
14,103;1,4027
15,506;1,4024
16,908;1,4021
18,311;1,4028
19,713;1,4027
21,116;1,4022
22,518;1,4025
23,921;1,4026
25,323;1,4024
26,725;1,4023
28,128;1,4025
29,530;1,4025
30,933;1,4022
32,335;1,4022
33,737;1,4026
35,140;1,4024
36,542;1,4022
37,944;1,4025
39,347;1,4026
40,749;1,4022
42,151;1,4023
43,554;1,4025
44,956;1,4024
46,359;1,4023
47,761;1,4024
49,163;1,4024
50,566;1,4022
51,968;1,4022
53,370;1,4024
54,772;1,4023
56,175;1,4021
57,577;1,4023
58,979;1,4024
60,381;1,4022
61,784;1,4021
63,186;1,4023
64,588;1,4024
65,990;1,4021
67,393;1,4022
68,795;1,4023
70,197;1,4022
71,599;1,4021
73,001;1,4022
74,404;1,4023
75,806;1,4021
77,208;1,4021
78,610;1,4023
80,012;1,4022
81,415;1,4021
82,817;1,4022
84,219;1,4022
85,621;1,4021
87,024;1,4027
88,425;1,4016
