"Time (s) Run #1";"Period (s) Run #1"
1,483;1,4477
2,931;1,4477
4,378;1,4470
5,825;1,4475
7,273;1,4475
8,720;1,4471
10,167;1,4475
11,615;1,4474
13,062;1,4473
14,509;1,4474
15,957;1,4475
17,404;1,4473
18,851;1,4471
20,299;1,4473
21,746;1,4473
23,193;1,4474
24,641;1,4475
26,088;1,4472
27,535;1,4473
28,982;1,4472
30,430;1,4473
31,877;1,4473
33,324;1,4473
34,772;1,4473
36,219;1,4473
37,666;1,4473
39,113;1,4473
40,561;1,4473
42,008;1,4473
43,455;1,4473
44,903;1,4472
46,350;1,4473
47,797;1,4472
49,244;1,4473
50,692;1,4472
52,139;1,4472
53,586;1,4472
55,033;1,4472
56,480;1,4472
57,928;1,4472
59,375;1,4473
60,822;1,4472
62,269;1,4472
63,716;1,4471
65,163;1,4472
66,611;1,4472
68,058;1,4471
69,505;1,4472
70,952;1,4472
72,399;1,4472
73,847;1,4472
75,294;1,4472
76,741;1,4472
78,188;1,4472
79,635;1,4471
81,082;1,4471
82,529;1,4469
83,976;1,4470
85,423;1,4469
86,870;1,4471
88,317;1,4472
89,765;1,4474
