"Time (s) Run #1";"Period (s) Run #1"
1,810;1,3630
3,174;1,3641
4,538;1,3637
5,901;1,3637
7,265;1,3636
8,628;1,3633
9,991;1,3631
11,355;1,3633
12,718;1,3635
14,082;1,3636
15,445;1,3634
16,808;1,3634
18,172;1,3632
19,535;1,3633
20,898;1,3634
22,262;1,3635
23,625;1,3634
24,989;1,3633
26,352;1,3632
27,715;1,3633
29,078;1,3634
30,442;1,3634
31,805;1,3634
33,169;1,3633
34,532;1,3632
35,895;1,3633
37,258;1,3633
38,622;1,3633
39,985;1,3633
41,348;1,3633
42,711;1,3632
44,075;1,3632
45,438;1,3632
46,801;1,3632
48,164;1,3632
49,527;1,3632
50,890;1,3630
52,254;1,3632
53,617;1,3632
54,980;1,3632
56,343;1,3632
57,706;1,3631
59,069;1,3631
60,433;1,3631
61,796;1,3632
63,159;1,3632
64,522;1,3631
65,885;1,3631
67,248;1,3631
68,611;1,3631
69,974;1,3632
71,338;1,3631
72,701;1,3631
74,064;1,3630
75,427;1,3631
76,790;1,3630
78,153;1,3632
79,516;1,3629
80,879;1,3630
82,242;1,3630
83,605;1,3630
84,968;1,3630
86,331;1,3630
87,694;1,3630
89,057;1,3630
90,420;1,3630
91,783;1,3629
93,146;1,3629
94,509;1,3630
95,872;1,3629
97,235;1,3630
98,598;1,3630
99,961;1,3629
101,323;1,3629
102,688;1,3642
104,050;1,3627
105,413;1,3629
106,776;1,3632
108,139;1,3629
109,502;1,3629
110,865;1,3629
112,228;1,3628
113,591;1,3629
114,954;1,3629
116,316;1,3628
117,679;1,3628
119,042;1,3628
120,405;1,3629
121,768;1,3628
123,131;1,3628
124,493;1,3628
125,856;1,3628
127,219;1,3628
