"Time (s) Run #1";"Period (s) Run #1";"Time (s) Run #2";"Period (s) Run #2";"Time (s) Run #3";"Period (s) Run #3";"Time (s) Run #4";"Period (s) Run #4";"Time (s) Run #5";"Period (s) Run #5"
103,391;1,4974;103,728;1,4985;103,848;1,4996;104,391;1,5010;104,391;1,5048
104,888;1,4972;105,226;1,4985;105,348;1,4994;105,892;1,5011;105,896;1,5048
106,386;1,4974;106,725;1,4984;106,847;1,4995;107,393;1,5010;107,401;1,5047
107,883;1,4970;108,223;1,4985;108,346;1,4993;108,894;1,5010;108,906;1,5048
109,380;1,4974;109,722;1,4986;109,846;1,4993;110,395;1,5010;110,410;1,5045
110,877;1,4969;111,220;1,4985;111,345;1,4993;111,896;1,5009;111,915;1,5046
112,375;1,4975;112,719;1,4985;112,844;1,4993;113,397;1,5009;113,419;1,5046
113,872;1,4969;114,217;1,4985;114,344;1,4995;114,898;1,5009;114,924;1,5045
115,369;1,4975;115,716;1,4985;115,843;1,4992;116,399;1,5009;116,428;1,5045
116,866;1,4971;117,214;1,4985;117,342;1,4995;117,899;1,5007;117,933;1,5045
118,363;1,4973;118,713;1,4985;118,842;1,4992;119,400;1,5009;119,437;1,5045
119,861;1,4972;120,211;1,4985;120,341;1,4994;120,901;1,5007;120,942;1,5043
121,358;1,4970;121,710;1,4985;121,840;1,4992;122,402;1,5009;122,446;1,5043
122,855;1,4974;123,208;1,4984;123,339;1,4991;123,903;1,5008;123,950;1,5043
124,352;1,4970;124,707;1,4985;124,839;1,4993;125,404;1,5008;125,455;1,5043
125,849;1,4973;126,205;1,4985;126,338;1,4992;126,904;1,5007;126,959;1,5042
127,346;1,4970;127,704;1,4985;127,837;1,4993;128,405;1,5007;128,463;1,5042
128,844;1,4974;129,202;1,4985;129,336;1,4992;129,906;1,5008;129,967;1,5042
130,341;1,4970;130,701;1,4985;130,836;1,4994;131,406;1,5007;131,471;1,5041
131,838;1,4973;132,199;1,4984;132,335;1,4991;132,907;1,5008;132,975;1,5041
133,335;1,4970;133,698;1,4984;133,834;1,4993;134,408;1,5006;134,479;1,5041
134,832;1,4972;135,196;1,4984;135,333;1,4991;135,909;1,5007;135,983;1,5040
136,329;1,4971;136,695;1,4985;136,832;1,4993;137,409;1,5006;137,487;1,5040
137,826;1,4970;138,193;1,4985;138,332;1,4991;138,910;1,5007;138,991;1,5039
139,324;1,4972;139,691;1,4984;139,831;1,4992;140,411;1,5006;140,495;1,5039
140,821;1,4970;141,190;1,4984;141,330;1,4992;141,911;1,5006;141,999;1,5039
142,318;1,4972;142,688;1,4985;142,829;1,4991;143,412;1,5006;143,503;1,5039
