"Time (s) Run #1";"Period (s) Run #1"
1,632;1,2936
2,926;1,2935
4,219;1,2933
5,512;1,2933
6,806;1,2933
8,099;1,2935
9,392;1,2934
10,686;1,2935
11,979;1,2935
13,273;1,2936
14,566;1,2932
15,860;1,2936
17,153;1,2933
18,446;1,2933
19,740;1,2933
21,033;1,2933
22,326;1,2934
23,620;1,2934
24,913;1,2933
26,206;1,2933
27,500;1,2934
28,793;1,2932
30,086;1,2933
31,379;1,2933
32,673;1,2932
33,966;1,2933
35,259;1,2933
36,552;1,2932
37,846;1,2932
39,139;1,2932
40,432;1,2931
41,725;1,2932
43,018;1,2933
44,312;1,2932
45,605;1,2933
46,898;1,2931
48,191;1,2932
49,484;1,2932
50,777;1,2931
52,071;1,2931
53,364;1,2931
54,657;1,2931
55,950;1,2931
57,243;1,2930
58,536;1,2931
59,829;1,2931
61,122;1,2931
62,415;1,2930
63,708;1,2930
65,001;1,2931
66,294;1,2930
67,587;1,2930
68,880;1,2931
70,173;1,2930
71,466;1,2929
72,759;1,2930
74,052;1,2930
75,345;1,2929
76,638;1,2929
77,931;1,2929
79,224;1,2930
80,517;1,2930
81,810;1,2928
83,103;1,2929
84,396;1,2929
85,688;1,2928
86,981;1,2929
88,274;1,2929
89,567;1,2929
90,860;1,2929
92,153;1,2928
93,446;1,2929
94,738;1,2929
96,032;1,2932
97,324;1,2924
