"Time (s) Run #1";"Period (s) Run #1"
1,848;1,4482
3,295;1,4469
4,742;1,4473
6,190;1,4477
7,637;1,4470
9,085;1,4473
10,532;1,4475
11,979;1,4471
13,426;1,4473
14,874;1,4474
16,321;1,4472
17,768;1,4473
19,215;1,4472
20,663;1,4472
22,110;1,4473
23,557;1,4472
25,004;1,4472
26,452;1,4472
27,899;1,4472
29,346;1,4472
30,793;1,4472
32,240;1,4472
33,687;1,4471
35,134;1,4471
36,582;1,4471
38,029;1,4471
39,476;1,4471
40,923;1,4472
42,370;1,4471
43,817;1,4471
45,264;1,4471
46,711;1,4471
48,159;1,4471
49,606;1,4470
51,053;1,4471
52,500;1,4470
53,947;1,4470
55,394;1,4471
56,841;1,4470
58,288;1,4470
59,735;1,4470
61,182;1,4470
62,629;1,4470
64,076;1,4470
65,523;1,4470
66,970;1,4470
68,417;1,4469
69,864;1,4470
71,311;1,4470
72,758;1,4470
74,205;1,4470
75,651;1,4469
77,098;1,4469
78,545;1,4470
79,992;1,4469
81,439;1,4469
82,886;1,4469
84,333;1,4469
85,780;1,4468
87,227;1,4469
88,674;1,4471
90,121;1,4469
91,568;1,4470
93,014;1,4467
94,461;1,4466
