"Time (s) Run #1";"Period (s) Run #1"
1,492;1,3621
2,854;1,3620
4,216;1,3624
5,579;1,3627
6,942;1,3628
8,304;1,3623
9,666;1,3621
11,028;1,3621
12,390;1,3624
13,753;1,3626
15,116;1,3625
16,478;1,3623
17,840;1,3619
19,202;1,3622
20,564;1,3623
21,927;1,3624
23,289;1,3625
24,651;1,3622
26,013;1,3621
27,376;1,3622
28,738;1,3624
30,100;1,3624
31,463;1,3624
32,825;1,3622
34,187;1,3621
35,549;1,3621
36,912;1,3624
38,274;1,3623
39,636;1,3623
40,998;1,3622
42,360;1,3621
43,723;1,3622
45,085;1,3623
46,447;1,3623
47,810;1,3623
49,172;1,3622
50,534;1,3622
51,896;1,3622
53,259;1,3623
54,621;1,3623
55,983;1,3622
57,345;1,3621
58,707;1,3621
60,070;1,3622
61,432;1,3622
62,794;1,3622
64,156;1,3623
65,518;1,3621
66,881;1,3624
68,243;1,3620
69,605;1,3622
70,967;1,3622
72,329;1,3622
73,691;1,3620
75,053;1,3621
76,416;1,3621
77,778;1,3621
79,140;1,3621
80,502;1,3621
81,864;1,3621
83,226;1,3620
84,588;1,3621
85,950;1,3622
87,312;1,3621
88,674;1,3620
90,037;1,3623
