"Time (s) Run #1";"Period (s) Run #1"
1,544;1,2931
2,838;1,2932
4,131;1,2930
5,424;1,2930
6,717;1,2930
8,010;1,2930
9,303;1,2929
10,595;1,2929
11,888;1,2931
13,182;1,2930
14,475;1,2931
15,768;1,2930
17,061;1,2930
18,354;1,2930
19,647;1,2929
20,938;1,2912
22,231;1,2929
23,523;1,2929
24,816;1,2929
26,109;1,2930
27,402;1,2928
28,695;1,2928
29,988;1,2928
31,281;1,2928
32,573;1,2926
33,866;1,2929
35,159;1,2927
36,452;1,2928
37,744;1,2928
39,037;1,2928
40,330;1,2931
41,623;1,2926
42,916;1,2930
44,209;1,2927
45,501;1,2928
46,794;1,2927
48,087;1,2929
49,380;1,2927
50,672;1,2928
51,965;1,2927
53,258;1,2928
54,551;1,2926
55,843;1,2926
57,136;1,2927
58,429;1,2926
59,721;1,2927
61,014;1,2927
62,306;1,2926
63,599;1,2926
64,892;1,2926
66,184;1,2926
67,477;1,2925
68,769;1,2925
70,062;1,2928
71,355;1,2924
72,647;1,2924
73,940;1,2927
75,232;1,2925
76,525;1,2928
77,817;1,2924
79,110;1,2926
80,403;1,2926
81,695;1,2925
82,988;1,2924
84,280;1,2924
85,572;1,2925
86,865;1,2924
88,157;1,2925
89,450;1,2924
90,742;1,2927
92,035;1,2922
93,327;1,2923
94,619;1,2923
95,912;1,2924
97,204;1,2922
98,497;1,2927
