"Time (s) Run #1";"Period (s) Run #1"
1,755;1,3620
3,117;1,3620
4,479;1,3621
5,841;1,3625
7,204;1,3624
8,566;1,3622
9,928;1,3620
11,290;1,3620
12,652;1,3622
14,014;1,3623
15,377;1,3623
16,739;1,3621
18,101;1,3620
19,463;1,3620
20,825;1,3623
22,188;1,3623
23,550;1,3622
24,912;1,3621
26,274;1,3620
27,636;1,3621
28,998;1,3622
30,360;1,3622
31,722;1,3621
33,085;1,3621
34,447;1,3621
35,809;1,3620
37,171;1,3622
38,533;1,3622
39,895;1,3620
41,257;1,3620
42,619;1,3619
43,981;1,3621
45,343;1,3621
46,705;1,3621
48,067;1,3621
49,429;1,3619
50,791;1,3620
52,153;1,3619
53,515;1,3621
54,877;1,3620
56,239;1,3620
57,601;1,3620
58,963;1,3620
60,325;1,3619
61,687;1,3621
63,049;1,3620
64,411;1,3619
65,773;1,3618
67,135;1,3618
68,497;1,3619
69,859;1,3620
71,221;1,3620
72,582;1,3619
73,944;1,3618
75,306;1,3619
76,668;1,3618
78,030;1,3620
79,392;1,3620
80,754;1,3618
82,116;1,3618
83,477;1,3617
84,839;1,3614
